name,date,ML,Low_90,High_90,Low_50,High_50
Aichi,2020-03-19,0.16,0.0,6.15,0.0,2.77
Aichi,2020-03-20,0.19,0.0,4.7700000000000005,0.0,2.16
Aichi,2020-03-21,0.21,0.0,4.11,0.04,1.9100000000000001
Aichi,2020-03-22,0.23,0.0,3.7,0.03,1.73
Aichi,2020-03-23,1.0,0.0,3.42,0.05,1.6300000000000001
Aichi,2020-03-24,1.3800000000000001,0.0,3.45,0.29,1.94
Aichi,2020-03-25,1.61,0.0,3.42,0.73,2.34
Aichi,2020-03-27,1.74,0.01,3.34,0.8200000000000001,2.36
Aichi,2020-03-28,1.61,0.05,3.11,0.86,2.27
Aichi,2020-03-29,1.52,0.03,2.9,0.77,2.09
Aichi,2020-03-30,1.45,0.02,2.74,0.71,1.96
Aichi,2020-03-31,1.3900000000000001,0.01,2.61,0.6900000000000001,1.8800000000000001
Aichi,2020-04-01,1.47,0.07,2.65,0.77,1.93
Aichi,2020-04-02,1.53,0.13,2.67,0.9500000000000001,2.06
Aichi,2020-04-03,1.6500000000000001,0.27,2.79,1.04,2.11
Aichi,2020-04-04,1.74,0.41000000000000003,2.84,1.2,2.21
Aichi,2020-04-05,1.78,0.5700000000000001,2.87,1.27,2.22
Aichi,2020-04-06,1.8,0.65,2.82,1.26,2.16
Aichi,2020-04-07,1.75,0.65,2.7,1.3,2.14
Aichi,2020-04-08,1.71,0.68,2.62,1.23,2.0300000000000002
Aichi,2020-04-09,1.58,0.5700000000000001,2.43,1.17,1.93
Aichi,2020-04-10,1.3900000000000001,0.43,2.22,0.9500000000000001,1.69
Aichi,2020-04-11,1.23,0.29,2.0300000000000002,0.78,1.51
Aichi,2020-04-12,1.1,0.15,1.84,0.65,1.37
Aichi,2020-04-13,1.05,0.14,1.8,0.64,1.35
Aichi,2020-04-14,1.09,0.15,1.83,0.68,1.3900000000000001
Aichi,2020-04-15,1.16,0.22,1.92,0.74,1.45
Aichi,2020-04-16,1.27,0.34,2.04,0.86,1.56
Aichi,2020-04-17,1.28,0.39,2.06,0.87,1.56
Aichi,2020-04-19,1.26,0.39,2.0300000000000002,0.84,1.52
Aichi,2020-04-20,1.24,0.37,1.99,0.8300000000000001,1.5
Aichi,2020-04-21,1.23,0.35000000000000003,1.95,0.8200000000000001,1.48
Chiba,2020-04-08,1.52,0.0,3.19,0.63,2.13
Chiba,2020-04-09,1.62,0.13,2.82,0.96,2.13
Chiba,2020-04-10,1.48,0.27,2.54,0.91,1.8800000000000001
Chiba,2020-04-11,1.35,0.28,2.2800000000000002,0.8300000000000001,1.68
Chiba,2020-04-12,1.22,0.26,2.07,0.75,1.52
Chiba,2020-04-13,1.06,0.14,1.8,0.63,1.34
Chiba,2020-04-14,1.09,0.21,1.81,0.71,1.3800000000000001
Chiba,2020-04-15,1.17,0.33,1.8800000000000001,0.8,1.44
Chiba,2020-04-16,1.23,0.44,1.92,0.87,1.48
Chiba,2020-04-17,1.28,0.53,1.94,0.93,1.51
Chiba,2020-04-19,1.27,0.55,1.9000000000000001,0.91,1.47
Chiba,2020-04-20,1.17,0.46,1.77,0.8300000000000001,1.37
Chiba,2020-04-21,1.11,0.45,1.72,0.84,1.36
Ehime,2020-03-29,0.15,0.0,8.73,0.0,4.03
Ehime,2020-03-30,0.18,0.0,7.1000000000000005,0.0,3.2
Ehime,2020-03-31,0.2,0.0,6.15,0.03,2.79
Ehime,2020-04-01,0.21,0.0,5.54,0.02,2.5100000000000002
Ehime,2020-04-02,0.23,0.0,5.1000000000000005,0.07,2.36
Ehime,2020-04-03,0.24,0.0,4.7700000000000005,0.04,2.19
Ehime,2020-04-04,0.25,0.0,4.51,0.03,2.07
Ehime,2020-04-05,1.83,0.0,4.76,0.56,2.83
Ehime,2020-04-06,2.2800000000000002,0.01,4.75,0.99,3.24
Ehime,2020-04-07,2.0,0.0,4.24,0.84,2.85
Ehime,2020-04-08,1.82,0.01,3.89,0.77,2.61
Ehime,2020-04-09,1.7,0.0,3.62,0.79,2.5
Ehime,2020-04-10,1.3,0.0,3.2,0.37,1.8900000000000001
Ehime,2020-04-11,1.27,0.0,3.1,0.28,1.76
Ehime,2020-04-12,1.25,0.0,3.02,0.41000000000000003,1.84
Ehime,2020-04-13,1.23,0.0,2.94,0.31,1.71
Ehime,2020-04-14,1.21,0.0,2.87,0.43,1.79
Ehime,2020-04-15,1.19,0.0,2.81,0.44,1.77
Ehime,2020-04-16,1.17,0.0,2.75,0.33,1.6400000000000001
Ehime,2020-04-17,0.92,0.0,2.56,0.21,1.41
Ehime,2020-04-19,0.92,0.0,2.54,0.11,1.31
Ehime,2020-04-20,1.1500000000000001,0.0,2.66,0.3,1.57
Ehime,2020-04-21,1.1400000000000001,0.0,2.62,0.43,1.67
Fukui,2020-03-24,0.15,0.0,8.73,0.0,4.03
Fukui,2020-03-25,3.84,0.0,8.31,1.45,5.5
Fukui,2020-03-27,2.56,0.0,6.3100000000000005,0.8200000000000001,3.86
Fukui,2020-03-28,3.0100000000000002,0.02,5.94,1.3800000000000001,4.18
Fukui,2020-03-29,2.4,0.0,4.96,1.05,3.4
Fukui,2020-03-30,2.08,0.0,4.38,0.84,2.92
Fukui,2020-03-31,2.27,0.02,4.29,1.17,3.14
Fukui,2020-04-01,2.34,0.08,4.15,1.35,3.17
Fukui,2020-04-02,2.32,0.2,4.0200000000000005,1.3800000000000001,3.0500000000000003
Fukui,2020-04-03,2.27,0.36,3.91,1.3900000000000001,2.92
Fukui,2020-04-04,1.8800000000000001,0.13,3.29,1.09,2.48
Fukui,2020-04-05,1.76,0.11,3.08,0.98,2.29
Fukui,2020-04-06,1.53,0.08,2.8000000000000003,0.79,2.02
Fukui,2020-04-07,1.48,0.04,2.67,0.81,1.99
Fukui,2020-04-08,1.56,0.11,2.73,0.93,2.08
Fukui,2020-04-09,1.5,0.15,2.67,0.87,1.98
Fukui,2020-04-10,1.46,0.13,2.57,0.88,1.95
Fukui,2020-04-11,1.33,0.07,2.38,0.78,1.81
Fukui,2020-04-12,1.31,0.05,2.32,0.74,1.75
Fukui,2020-04-13,1.2,0.05,2.21,0.66,1.6400000000000001
Fukui,2020-04-14,1.19,0.02,2.16,0.63,1.6
Fukui,2020-04-15,1.18,0.05,2.16,0.61,1.57
Fukui,2020-04-16,1.17,0.04,2.13,0.61,1.56
Fukui,2020-04-17,1.16,0.04,2.11,0.61,1.55
Fukui,2020-04-19,1.1500000000000001,0.05,2.1,0.62,1.55
Fukui,2020-04-20,1.1400000000000001,0.02,2.06,0.64,1.56
Fukui,2020-04-21,1.1400000000000001,0.03,2.05,0.56,1.48
Fukuoka,2020-04-09,2.24,0.37,3.85,1.35,2.85
Fukuoka,2020-04-10,2.14,0.75,3.31,1.51,2.57
Fukuoka,2020-04-11,1.83,0.71,2.7800000000000002,1.35,2.2
Fukuoka,2020-04-12,1.46,0.53,2.32,1.04,1.78
Fukuoka,2020-04-13,1.1500000000000001,0.27,1.8900000000000001,0.73,1.41
Fukuoka,2020-04-14,0.93,0.11,1.59,0.58,1.21
Fukuoka,2020-04-15,0.8200000000000001,0.05,1.43,0.51,1.11
Fukuoka,2020-04-16,0.81,0.06,1.41,0.46,1.05
Fukuoka,2020-04-17,0.8,0.09,1.41,0.45,1.03
Fukuoka,2020-04-19,0.77,0.05,1.34,0.42,0.99
Fukuoka,2020-04-20,0.73,0.03,1.29,0.4,0.96
Fukuoka,2020-04-21,0.6900000000000001,0.02,1.25,0.33,0.89
Fukushima,2020-03-31,0.15,0.0,8.73,0.0,4.03
Fukushima,2020-04-01,3.84,0.0,8.31,1.45,5.5
Fukushima,2020-04-02,2.56,0.0,6.3100000000000005,0.8200000000000001,3.86
Fukushima,2020-04-03,2.08,0.0,5.34,0.61,3.17
Fukushima,2020-04-04,2.56,0.0,5.22,1.2,3.67
Fukushima,2020-04-05,2.17,0.0,4.55,0.88,3.04
Fukushima,2020-04-06,2.36,0.04,4.44,1.21,3.24
Fukushima,2020-04-07,2.08,0.03,3.97,1.08,2.9
Fukushima,2020-04-08,1.8900000000000001,0.06,3.67,1.02,2.69
Fukushima,2020-04-09,1.76,0.03,3.4,0.88,2.44
Fukushima,2020-04-10,1.44,0.0,3.02,0.55,1.98
Fukushima,2020-04-11,1.19,0.0,2.7600000000000002,0.31,1.6300000000000001
Fukushima,2020-04-12,0.9500000000000001,0.0,2.57,0.15,1.36
Fukushima,2020-04-13,0.9500000000000001,0.0,2.5500000000000003,0.18,1.3800000000000001
Fukushima,2020-04-14,1.16,0.0,2.67,0.38,1.6500000000000001
Fukushima,2020-04-15,1.34,0.01,2.77,0.6,1.9000000000000001
Fukushima,2020-04-16,1.48,0.01,2.83,0.76,2.06
Fukushima,2020-04-17,1.59,0.06,2.89,0.84,2.12
Fukushima,2020-04-19,1.53,0.04,2.7600000000000002,0.79,2.02
Fukushima,2020-04-20,1.35,0.01,2.54,0.72,1.8800000000000001
Fukushima,2020-04-21,1.2,0.0,2.38,0.55,1.6600000000000001
Gifu,2020-03-21,0.15,0.0,8.73,0.0,4.03
Gifu,2020-03-22,0.18,0.0,7.1000000000000005,0.0,3.2
Gifu,2020-03-23,3.0100000000000002,0.0,7.1000000000000005,1.16,4.59
Gifu,2020-03-24,2.2800000000000002,0.0,5.76,0.61,3.38
Gifu,2020-03-25,1.93,0.0,5.01,0.55,2.95
Gifu,2020-03-27,1.74,0.0,4.53,0.55,2.71
Gifu,2020-03-28,1.61,0.0,4.18,0.54,2.5300000000000002
Gifu,2020-03-29,1.52,0.0,3.91,0.28,2.15
Gifu,2020-03-30,1.45,0.0,3.7,0.44,2.2
Gifu,2020-03-31,1.4000000000000001,0.0,3.5300000000000002,0.34,2.02
Gifu,2020-04-01,1.7,0.0,3.63,0.67,2.39
Gifu,2020-04-02,1.9000000000000001,0.01,3.64,0.9400000000000001,2.62
Gifu,2020-04-03,2.0,0.08,3.63,1.11,2.71
Gifu,2020-04-04,2.05,0.17,3.59,1.1500000000000001,2.66
Gifu,2020-04-05,1.8800000000000001,0.13,3.3000000000000003,1.06,2.46
Gifu,2020-04-06,1.76,0.15,3.12,1.03,2.34
Gifu,2020-04-07,1.67,0.11,2.93,1.0,2.24
Gifu,2020-04-08,1.72,0.19,2.95,1.08,2.27
Gifu,2020-04-09,1.74,0.3,2.97,1.08,2.22
Gifu,2020-04-10,1.75,0.37,2.94,1.09,2.18
Gifu,2020-04-11,1.75,0.47000000000000003,2.93,1.17,2.2
Gifu,2020-04-12,1.59,0.35000000000000003,2.68,1.06,2.04
Gifu,2020-04-13,1.53,0.31,2.56,0.96,1.9100000000000001
Gifu,2020-04-14,1.42,0.23,2.39,0.86,1.78
Gifu,2020-04-15,1.25,0.11,2.16,0.73,1.62
Gifu,2020-04-16,1.17,0.08,2.06,0.7000000000000001,1.57
Gifu,2020-04-17,1.04,0.04,1.9100000000000001,0.58,1.43
Gifu,2020-04-19,0.97,0.0,1.82,0.52,1.36
Gifu,2020-04-20,0.97,0.01,1.83,0.43,1.28
Gifu,2020-04-21,0.9,0.0,1.77,0.34,1.18
Gunma,2020-03-24,0.15,0.0,8.73,0.0,4.03
Gunma,2020-03-25,0.18,0.0,7.1000000000000005,0.0,3.2
Gunma,2020-03-27,0.2,0.0,6.15,0.03,2.79
